"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          38,      -4.926974031,      -1.717465837,      -2.339339303,       0.531283913,      -5.968709817
          0,           0,          39,      -4.786615152,       -1.72568736,      -2.247238308,      0.6780726374,      -5.965211368
          0,           0,          40,      -4.933254297,       -1.73295259,      -2.348994523,      0.5269795261,      -5.959014825
          0,           0,          41,      -4.798632094,      -1.741244614,      -2.250176926,      0.6672367118,      -5.955715102
          0,           0,          42,      -4.936344978,      -1.747971501,      -2.351047795,      0.5251056485,      -5.949685892
          0,           0,          43,      -4.819108107,      -1.756246515,      -2.261134757,      0.6473880153,        -5.9463439
          0,           0,          44,      -4.950412267,      -1.762400403,      -2.363816574,      0.5111276926,      -5.940615095
          0,           0,          45,      -4.853187607,      -1.770634178,      -2.284267289,      0.6137514646,      -5.937323324
          0,           0,          46,       -4.97391338,      -1.776193511,       -2.38451533,      0.4876875181,       -5.93167325
          0,           0,          47,      -4.890226227,      -1.784502044,      -2.305707473,      0.5780598371,       -5.92849297
          0,           0,          48,      -4.999406702,      -1.789415446,       -2.40363963,      0.4630036509,      -5.923108512
          0,           0,          49,        -4.9181268,      -1.797810275,      -2.318071851,      0.5520381908,      -5.919851322
          0,           0,          50,      -5.024652166,      -1.802166194,      -2.421267065,      0.4387163268,      -5.914551442
          0,           0,          51,      -4.933775959,      -1.810367763,      -2.328479057,      0.5373520395,      -5.911507885
          0,           0,          52,      -5.050005351,      -1.814358637,      -2.442805766,      0.4136918359,      -5.906398917
          0,           0,          53,      -4.941905978,       -1.82205578,      -2.345147858,      0.5288052426,      -5.903215536
          0,           0,          54,      -5.073218612,      -1.825977539,      -2.469494568,      0.3901628144,      -5.898217462
          0,           0,          55,      -4.949648537,      -1.833005786,      -2.370505559,      0.5197923696,      -5.895274379
          0,           0,          56,      -5.092367722,      -1.837022518,       -2.49945506,      0.3702891057,      -5.890396764
          0,           0,          57,      -4.964443579,      -1.843528161,      -2.404821251,      0.5033942351,      -5.887301949
          0,           0,          58,      -5.110136919,        -1.8476287,      -2.532099192,      0.3513983861,      -5.882556712
          0,           0,          59,       -4.99189845,      -1.853829346,       -2.44746172,      0.4742152918,      -5.879701056
          0,           0,          60,      -5.130892564,      -1.857875189,      -2.567163642,      0.3290871881,      -5.875033966
          0,           0,          61,      -5.032435271,      -1.864049721,      -2.493503286,      0.4320595458,      -5.872029379
          0,           0,          62,      -5.156351848,       -1.86787237,      -2.601854672,      0.3018825046,      -5.867499842
