"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          25,     -0.2581084599,       2.340640801,       2.039411355,       5.240999118,      -3.132166866
          0,           0,          26,     -0.2732248764,        2.34190525,       2.034487152,       5.239071003,       -2.53569288
          0,           0,          27,     -0.2424092154,       2.376534264,       2.047069224,       5.245293306,      -1.938470082
          0,           0,          28,     -0.2623979207,       2.401538143,       2.054630581,       5.255655492,      -1.340995955
          0,           0,          29,     -0.2855536886,        2.34846187,       2.052965782,       5.235247015,     -0.7434077805
          0,           0,          30,     -0.2164722475,       2.372303003,       2.070597982,        5.22468696,     -0.1457606502
          0,           0,          31,     -0.2607485653,       2.382709641,       2.096412687,       5.243972276,      0.4519148797
          0,           0,          32,     -0.2538912313,        2.39279524,       2.174065534,       5.295720413,       1.049607361
          0,           0,          33,     -0.2778214885,       2.362661636,       2.309118886,       5.287371552,       1.647304962
          0,           0,          34,     -0.2637574048,       2.415548967,       2.524507718,       5.294647516,       2.245007126
          0,           0,          35,     -0.2287623768,       2.525527367,       2.772939775,       5.339475491,       2.842710915
          0,           0,          36,     -0.1796985214,       2.683661711,       3.060085397,       5.371013069,       3.440415908
          0,           0,          37,    -0.06669002911,        2.92497025,       3.344396865,       5.467426937,       4.038121432
          0,           0,          38,     -0.2597285396,       3.163568481,       3.641986122,       5.555917674,       4.635827278
          0,           0,          39,     -0.2249957525,       3.448940301,       3.930995173,       5.780927101,       5.233533272
          0,           0,          40,     -0.1908113964,       3.736372668,        4.22011221,       6.043236971,       5.831239342
          0,           0,          41,     -0.2068377699,       4.029070471,       4.513769797,       6.330121806,       6.428945452
          0,           0,          42,     -0.1393638106,       4.326081806,       4.811555694,       6.626062821,       7.026651583
          0,           0,          43,      -0.127036121,       4.622750233,       5.109325292,       6.922988115,       7.624357725
          0,           0,          44,     -0.1494113567,       4.904632842,       5.389958616,       7.208817091,       8.222063873
          0,           0,          45,     -0.1265672997,       5.187027473,       5.671085961,       7.495319895,       8.819770023
          0,           0,          46,    -0.06473266059,       5.376244567,       5.840336123,       7.711760709,       9.417476175
          0,           0,          47,      0.0537523592,       5.347835865,       5.724229991,       7.774049577,       10.01518233
          0,           0,          48,     0.08844618862,       5.641426033,       6.022045092,        8.06838253,       10.61288848
          0,           0,          49,      0.1565676506,       5.928934124,       6.313475097,       8.356558793,       11.21059463
          0,           0,          50,      0.1919222969,       6.220216817,       6.609902457,       8.648452151,       11.80830078
          0,           0,          51,      0.2163823812,       6.515331239,       6.911557874,       8.944528886,       12.40600694
          0,           0,          52,      0.2371479416,       6.810505762,       7.213078079,       9.241012756,       13.00371309
          0,           0,          53,      0.2938840914,       7.106897746,       7.513598816,       9.539098854,       13.60141924
          0,           0,          54,      0.3137428473,       7.404679229,       7.814036027,       9.839841192,       14.19912539
          0,           0,          55,      0.4344617427,       7.691327258,        8.10145054,       10.13767533,       14.79683155
          0,           0,          56,      0.4621981829,       7.989998904,       8.400841347,       10.44136291,        15.3945377
          0,           0,          57,      0.5498582819,       8.288401399,       8.700466167,       10.75456808,       15.99224385
          0,           0,          58,      0.5980837346,       8.587303734,       9.000465916,       11.07477012,       16.58995001
          0,           0,          59,       0.646005946,        8.88626309,       9.300573059,       11.40478037,       17.18765616
          0,           0,          60,      0.6952766768,       9.185235954,       9.600742206,       11.74475037,       17.78536231
          0,           0,          61,      0.7779467963,       9.452786485,       9.866497694,       12.08553568,       18.38306846
          0,           0,          62,      0.8735882429,       9.752749266,        10.1677179,       12.44685253,       18.98077462
          0,           0,          63,       0.886406453,       10.05160234,       10.46657097,       12.74570556,       19.57848077
